Date of Arrangement,Expiration Date,country,Actual/Current Expiration Date
8/31/2005,8/30/2008,macedonia,8/30/2008
10/24/2005,10/23/2008,cameroon,10/23/2008
12/23/2005,3/22/2007,iraq,12/18/2007
1/27/2006,1/31/2009,albania,1/31/2009
1/27/2006,1/31/2009,albania,1/31/2009
4/17/2006,4/16/2009,grenada,4/16/2010
5/5/2006,5/4/2009,moldova,5/4/2009
5/10/2006,5/9/2009,sierra-leone,6/30/2010
5/31/2006,8/31/2008,paraguay,8/31/2008
6/12/2006,6/11/2009,rwanda,8/14/2009
6/26/2006,6/25/2009,afghanistan,9/25/2010
7/21/2006,7/20/2009,madagascar,7/20/2009
11/20/2006,11/19/2009,haiti,1/31/2010
12/18/2006,12/17/2009,mauritania,12/17/2009
12/22/2006,12/21/2009,central-african-republic,6/30/2010
1/26/2007,2/28/2009,peru,2/28/2009
2/21/2007,2/20/2010,gambia,3/31/2011
4/23/2007,4/22/2010,burkina-faso,4/22/2010
5/7/2007,5/6/2010,gabon,5/6/2010
10/5/2007,10/4/2010,nicaragua,10/31/2011
12/19/2007,3/18/2009,iraq,3/18/2009
12/21/2007,12/20/2010,guinea,12/20/2010
3/14/2008,3/13/2011,liberia,9/25/2008
3/14/2008,3/13/2011,liberia,5/17/2012
4/7/2008,4/6/2009,honduras,3/30/2009
4/21/2008,4/20/2011,togo,7/26/2011
5/29/2008,5/28/2011,mali,12/22/2011
6/2/2008,6/1/2011,niger,6/1/2011
6/4/2008,6/3/2011,zambia,6/29/2011
7/7/2008,7/6/2011,burundi,1/23/2012
9/15/2008,3/14/2010,georgia,6/14/2011
9/17/2008,9/16/2011,djibouti,5/31/2012
11/5/2008,11/4/2010,ukraine,7/27/2010
11/6/2008,4/5/2010,hungary,10/5/2010
11/14/2008,11/13/2010,seychelles,12/22/2009
11/17/2008,11/16/2011,armenia,3/6/2009
11/19/2008,11/18/2010,iceland,8/31/2011
11/24/2008,10/23/2010,pakistan,9/30/2011
12/3/2008,12/2/2009,malawi,12/2/2009
12/8/2008,8/4/2011,congo,8/4/2011
12/10/2008,6/9/2010,kyrgyz-republic,6/9/2010
12/16/2008,12/16/2008,comoros,12/16/2008
12/19/2008,12/18/2009,senegal,6/10/2010
12/23/2008,3/22/2011,latvia,12/22/2011
1/12/2009,4/11/2010,belarus,3/30/2010
1/16/2009,3/31/2010,el-salvador,3/17/2010
1/16/2009,4/15/2010,serbia,4/15/2011
1/23/2009,1/23/2009,ethiopia,1/23/2009
3/2/2009,3/1/2012,sao-tome-principe,3/1/2012
3/6/2009,7/5/2011,armenia,6/27/2010
3/11/2009,3/11/2009,congo,3/11/2009
3/27/2009,3/26/2012,cote-d-ivoire,6/23/2011
4/1/2009,10/1/2010,mongolia,10/1/2010
4/11/2009,7/10/2010,costa-rica,7/10/2010
4/17/2009,4/16/2010,mexico,3/25/2010
4/21/2009,4/20/2012,tajikistan,5/9/2012
4/22/2009,10/21/2010,guatemala,10/21/2010
5/4/2009,5/3/2011,romania,3/30/2011
5/6/2009,5/5/2010,poland,5/5/2010
5/11/2009,5/6/2010,colombia,5/6/2010
5/15/2009,5/15/2009,st-vincent-grenadines,5/15/2009
5/29/2009,5/28/2010,kenya,5/28/2010
5/29/2009,5/28/2010,tanzania,6/14/2010
6/30/2009,6/28/2010,mozambique,6/28/2010
7/8/2009,6/30/2012,bosnia-herzegovina,7/7/2012
7/19/2009,7/23/2012,ghana,7/23/2012
7/24/2009,3/23/2011,sri-lanka,7/23/2012
8/26/2009,10/25/2010,ethiopia,11/22/2010
9/21/2009,9/20/2012,comoros,12/31/2013
11/9/2009,3/8/2012,dominican-republic,3/8/2012
11/23/2009,2/22/2012,angola,3/30/2012
12/4/2009,12/3/2011,maldives,12/3/2011
12/4/2009,12/3/2012,maldives,12/3/2012
12/11/2009,12/10/2012,congo,12/10/2012
12/23/2009,12/22/2012,seychelles,12/22/2013
1/29/2010,1/30/2013,moldova,4/30/2013
1/29/2010,1/28/2013,moldova,4/30/2013
2/4/2010,5/3/2012,jamaica,5/3/2012
2/19/2010,2/18/2013,malawi,7/22/2012
2/24/2010,2/23/2012,iraq,2/23/2013
3/15/2010,3/14/2013,mauritania,6/30/2013
3/17/2010,3/16/2013,el-salvador,3/16/2013
3/25/2010,3/24/2011,mexico,1/9/2011
4/18/2010,4/17/2013,grenada,4/17/2013
5/7/2010,5/6/2011,colombia,5/6/2011
5/7/2010,5/6/2013,guinea-bissau,5/6/2013
5/9/2010,5/8/2013,greece,3/14/2012
6/2/2010,12/1/2011,solomon-islands,12/1/2011
6/2/2010,6/1/2013,lesotho,9/30/2013
6/7/2010,6/6/2013,antigua-barbuda,6/6/2013
6/14/2010,6/13/2013,benin,6/30/2014
6/14/2010,6/13/2013,burkina-faso,12/23/2013
6/28/2010,6/27/2013,armenia,7/2/2013
6/28/2010,6/27/2013,armenia,6/24/2013
7/1/2010,6/30/2013,sierra-leone,6/30/2013
7/2/2010,7/1/2011,poland,1/20/2011
7/21/2010,1/20/2012,kosovo,1/20/2012
7/21/2010,7/20/2013,haiti,12/28/2014
7/28/2010,12/27/2012,ukraine,12/27/2012
7/30/2010,7/29/2013,yemen,4/4/2012
10/1/2010,3/31/2012,honduras,3/31/2012
10/1/2010,3/31/2012,honduras,3/31/2012
12/16/2010,12/15/2013,ireland,12/15/2013
1/10/2011,1/9/2013,mexico,11/29/2012
1/19/2011,1/18/2013,macedonia,1/18/2013
1/21/2011,1/17/2013,poland,1/17/2013
1/31/2011,1/30/2014,kenya,1/30/2014
3/31/2011,3/30/2013,romania,6/30/2013
5/6/2011,5/5/2013,colombia,5/5/2013
5/20/2011,5/19/2014,portugal,6/30/2014
6/20/2011,6/19/2014,kyrgyz-republic,7/31/2014
7/27/2011,7/26/2014,st-kitts-nevis,7/26/2014
9/29/2011,3/28/2013,serbia,3/28/2013
11/4/2011,11/3/2014,cote-d-ivoire,12/31/2015
11/14/2011,11/13/2014,afghanistan,11/13/2014
12/6/2011,12/5/2012,solomon-islands,12/5/2012
12/27/2011,12/26/2014,mali,1/10/2013
1/27/2012,1/26/2015,burundi,3/31/2016
2/24/2012,2/23/2015,guinea,11/7/2016
3/15/2012,3/14/2016,greece,1/15/2016
3/16/2012,3/15/2015,niger,12/31/2016
4/11/2012,4/10/2015,bangladesh,10/31/2015
4/11/2012,4/10/2014,georgia,4/10/2014
4/11/2012,4/10/2014,georgia,4/10/2014
4/27/2012,12/26/2013,kosovo,12/26/2013
5/25/2012,5/24/2015,gambia,4/2/2015
6/25/2012,6/24/2015,central-african-republic,5/1/2014
7/6/2012,1/5/2014,tanzania,4/30/2014
7/20/2012,7/19/2015,sao-tome-principe,7/19/2015
7/23/2012,7/22/2015,malawi,6/29/2017
8/3/2012,8/2/2015,jordan,8/2/2015
8/3/2012,8/2/2014,morocco,7/28/2014
9/26/2012,9/25/2014,bosnia-herzegovina,6/30/2015
11/19/2012,11/18/2015,liberia,11/18/2017
11/30/2012,11/29/2014,mexico,11/29/2014
12/7/2012,12/6/2015,solomon-islands,3/31/2016
1/18/2013,1/17/2015,poland,1/14/2015
5/1/2013,4/30/2017,jamaica,11/11/2016
5/15/2013,5/14/2016,cyprus,3/7/2016
6/7/2013,6/6/2015,tunisia,12/31/2015
6/24/2013,6/23/2015,colombia,6/23/2015
9/4/2013,9/3/2016,pakistan,9/30/2016
9/27/2013,9/26/2015,romania,9/26/2015
10/21/2013,10/20/2016,sierra-leone,12/14/2016
12/18/2013,12/17/2016,mali,12/17/2018
12/27/2013,12/26/2016,burkina-faso,7/24/2017
2/28/2014,2/27/2017,albania,2/24/2017
3/7/2014,5/6/2017,armenia,6/27/2017
4/30/2014,4/29/2016,ukraine,3/10/2015
6/4/2014,6/3/2017,seychelles,6/3/2017
6/26/2014,6/25/2017,grenada,5/26/2017
7/28/2014,7/27/2016,morocco,7/21/2016
7/30/2014,7/29/2017,georgia,4/11/2017
8/1/2014,7/30/2017,chad,6/29/2017
9/2/2014,9/1/2017,yemen,3/31/2016
11/26/2014,11/25/2016,mexico,5/27/2016
12/3/2014,12/2/2017,honduras,12/2/2017
12/3/2014,12/2/2016,honduras,12/2/2016
1/14/2015,1/13/2017,poland,1/13/2017
2/2/2015,2/1/2016,kenya,3/14/2016
2/2/2015,2/1/2016,kenya,3/14/2016
2/23/2015,2/22/2018,serbia,2/22/2018
3/11/2015,3/10/2019,ukraine,12/17/2018
4/3/2015,4/2/2018,ghana,4/2/2019
4/8/2015,4/7/2018,kyrgyz-republic,4/7/2018
5/18/2015,5/17/2018,haiti,11/17/2016
6/17/2015,6/16/2017,colombia,6/13/2016
7/10/2015,7/9/2018,guinea-bissau,7/9/2019
7/13/2015,7/12/2018,sao-tome-principe,12/31/2018
7/29/2015,5/28/2017,kosovo,8/4/2017
12/18/2015,6/17/2017,mozambique,6/17/2017
3/14/2016,3/13/2018,kenya,9/13/2018
3/14/2016,3/13/2018,kenya,3/13/2018
5/20/2016,5/19/2020,tunisia,3/18/2020
5/27/2016,5/26/2018,suriname,4/16/2017
5/27/2016,5/26/2018,mexico,11/28/2017
6/3/2016,6/2/2019,sri-lanka,6/2/2020
6/8/2016,12/7/2017,rwanda,1/31/2018
6/13/2016,6/12/2018,colombia,5/24/2018
7/7/2016,7/6/2019,iraq,7/6/2019
7/20/2016,7/19/2019,afghanistan,12/31/2019
7/22/2016,7/21/2018,morocco,7/21/2018
7/20/2016,7/19/2019,central-african-republic,7/19/2019
7/27/2016,11/26/2019,madagascar,11/26/2019
8/24/2016,8/23/2019,jordan,3/23/2020
9/7/2016,9/6/2019,bosnia-herzegovina,4/20/2020
11/7/2016,11/6/2019,moldova,11/6/2019
11/7/2016,11/6/2019,moldova,11/6/2019
11/11/2016,11/10/2019,egypt,11/10/2019
11/11/2016,11/10/2019,jamaica,11/10/2019
12/12/2016,12/11/2019,cote-d-ivoire,12/11/2020
12/12/2016,12/11/2019,cote-d-ivoire,12/11/2020
1/13/2017,1/12/2019,poland,11/3/2017
1/23/2017,1/22/2020,niger,10/31/2020
4/7/2017,4/6/2020,benin,5/19/2020
4/12/2017,4/11/2020,georgia,4/11/2021
5/5/2017,5/4/2020,togo,4/7/2020
5/24/2017,5/23/2020,mongolia,5/23/2020
6/5/2017,6/4/2020,sierra-leone,11/29/2018
6/19/2017,6/18/2020,gabon,6/18/2020
6/26/2017,6/25/2020,cameroon,9/30/2020
6/30/2017,6/29/2020,chad,7/22/2020
7/20/2017,8/31/2018,greece,8/31/2018
11/29/2017,11/28/2019,mexico,11/28/2019
12/6/2017,12/5/2020,mauritania,12/5/2020
12/11/2017,12/10/2020,guinea,12/10/2020
3/14/2018,3/13/2021,burkina-faso,3/13/2021
4/30/2018,4/29/2021,malawi,4/29/2021
5/25/2018,5/24/2020,colombia,5/1/2020
6/20/2018,6/19/2021,argentina,7/24/2020
10/1/2018,9/30/2022,barbados,9/30/2022
11/30/2018,6/29/2022,sierra-leone,6/29/2022
12/7/2018,12/6/2021,angola,12/6/2021
12/17/2018,12/16/2020,morocco,4/7/2020
12/18/2018,2/17/2020,ukraine,2/17/2020
3/11/2019,3/10/2022,ecuador,5/1/2020
5/17/2019,5/16/2022,armenia,5/16/2022
7/3/2019,10/2/2022,pakistan,10/2/2022
7/11/2019,7/10/2022,congo,7/10/2022
7/15/2019,7/14/2021,honduras,7/14/2021
7/15/2019,7/14/2021,honduras,7/14/2021
8/28/2019,8/27/2022,mali,8/27/2022
10/2/2019,2/1/2023,sao-tome-principe,2/1/2023
11/22/2019,11/21/2021,mexico,11/21/2021
12/11/2019,12/10/2023,liberia,12/10/2023
12/18/2019,12/17/2022,equatorial-guinea,12/17/2022
12/20/2019,12/19/2022,ethiopia,12/19/2022
12/20/2019,12/19/2022,ethiopia,12/19/2022
12/20/2019,12/19/2022,central-african-republic,12/19/2022
3/23/2020,6/22/2023,gambia,6/22/2023
3/24/2020,3/23/2023,somalia,3/23/2023
3/24/2020,3/23/2023,somalia,3/23/2023
3/25/2020,3/24/2024,jordan,3/24/2024
5/1/2020,4/30/2022,colombia,4/30/2022
5/28/2020,5/27/2022,peru,5/27/2022
5/29/2020,5/28/2022,chile,5/28/2022
6/9/2020,12/8/2021,ukraine,12/8/2021
6/26/2020,6/25/2021,egypt,6/25/2021
9/30/2020,12/29/2022,ecuador,12/29/2022
