,fed_pos,fed_neg,w2v_pos,w2v_neg,w2v_refined_0_pos,w2v_refined_0_neg,w2v_refined_1_pos,w2v_refined_1_neg,w2v_refined_2_pos,w2v_refined_2_neg
28,successful,fragility,seek,recessionary,use,materially_affect,adequate,materially_affect,correctly,materially_affect
29,successfully,gloomy,want,positive,enable,adversely_affect,sufficiently_robust,adversely_affect,adequacy,adversely_affect
30,,hurt,use,unanticipated,properly,adverse,appropriately,adverse,susficient,adverse
31,,illiquid,enable,adverse,adequate,severely_affect,fully,severely_affect,adequately,severely_affect
32,,impairment,properly,materially_affect,sufficiently_robust,magnify,sufficiently,impair,relatively_benign,impair
33,,inability,inadequately,adversely_affect,appropriately,impair,prudently,unfavourable,favourable,unfavourable
34,,jeopardise,adequate,adverse,fully,unfavourable,sufficient,negative,favorable,negative
35,,lose,sufficiently_robust,severely_affect,sufficiently,negative,rigorously,severely_dent,robust,severely_dent
36,,negative,appropriately,magnify,prudently,severely_dent,accurately,affect,positive,detrimental
37,,pose,poorly,impair,sufficient,affect,correctly,detrimental,subdue,severely_curtail
38,,question,fully,unfavourable,rigorously,detrimental,adequacy,severely_curtail,accommodative,currency_fluctuation
39,,repercussion,sufficiently,negative,accurately,severely_curtail,susficient,currency_fluctuation,predictable,depress
40,,risky,prudently,severely_dent,correctly,currency_fluctuation,adequately,depress,perverse,adversely
41,,severely,sufficient,affect,adequacy,depress,relatively_benign,adversely,mute,exacerbate
42,,shortfall,rigorously,detrimental,susficient,adversely,favourable,exacerbate,benign,beset
43,,spiral,accurately,severely_curtail,adequately,exacerbate,favorable,beset,resilient,hamper
44,,squeeze,correctly,ameliorate,relatively_benign,beset,robust,hamper,robust,accentuate
45,,stagnate,adequacy,currency_fluctuation,favourable,hamper,positive,affect,strong,bedevil
46,,strain,susficient,depress,favorable,affect,subdue,accentuate,buoyancy,adversely_affect
47,,stress,adequately,adversely,robust,accentuate,accommodative,bedevil,upbeat,worsen
48,,struggle,relatively_benign,exacerbate,positive,bedevil,predictable,adversely_affect,doldrums,plague
49,,suffer,favourable,beset,subdue,adversely_affect,perverse,worsen,favourable,hinder
50,,threaten,favorable,hamper,accommodative,magnify,mute,cause,buoyant,wrack
51,,turbulent,robust,affect,predictable,worsen,benign,plague,resilience,severely_affect
52,,unable,positive,accentuate,perverse,cause,resilient,hinder,steadiness,aggravate
53,,undermine,subdue,bedevil,mute,plague,robust,wrack,firmness,dreadful
54,,unease,unfavourable,adversely_affect,benign,hinder,strong,severely_affect,strength,lousy
55,,unexpectedly,accommodative,magnify,resilient,wrack,buoyancy,aggravate,upswing,terrible
56,,vulnerable,uncertain,worsen,robust,ameliorate,upbeat,dreadful,upturn,awful
57,,weakness,unstable,cause,strong,severely_affect,doldrums,lousy,buoyant,horrible
58,,worsen,bleak,plague,buoyancy,aggravate,favourable,terrible,upward_trend,nasty
59,,writedowns,predictable,hinder,upbeat,dreadful,buoyant,awful,bullish_sentiment,wrong
60,,,perverse,wrack,doldrums,lousy,resilience,horrible,bullish_mood,atrocious
61,,,mute,ameliorate,favourable,terrible,steadiness,nasty,buoyancy,rotten
62,,,deflationary,severely_affect,buoyant,awful,firmness,wrong,comsortable,unpleasant
63,,,benign,aggravate,softness,horrible,strength,atrocious,happy,miserable
64,,,subdue,dreadful,resilience,nasty,tightness,rotten,luxurious,unfortunate
65,,,sluggish,lousy,steadiness,wrong,upswing,unpleasant,pleasant,scary
66,,,depress,terrible,firmness,atrocious,upturn,miserable,agreeable,ugly
67,,,lacklustre,awful,strength,rotten,buoyant,unfortunate,relax,stupid
68,,,resilient,horrible,tightness,unpleasant,upward_trend,scary,comfy,bad
69,,,weak,nasty,upswing,miserable,bullish_sentiment,ugly,closely_align,administrative_burden
70,,,robust,wrong,upturn,unfortunate,bullish_mood,stupid,attractive,strain
71,,,strong,atrocious,buoyant,scary,buoyancy,bad,safe,constraint
72,,,stagnant,rotten,upward_trend,ugly,comsortable,administrative_burden,comfortable,pressure
73,,,severely_depress,unpleasant,bullish_sentiment,stupid,happy,strain,consident,dependency
74,,,buoyancy,miserable,bullish_mood,bad,luxurious,constraint,hopeful,stigma
75,,,volatile,unfortunate,buoyancy,administrative_burden,pleasant,pressure,optimistic,red_tape
76,,,upbeat,scary,comsortable,strain,agreeable,dependency,sceptical,risk
77,,,doldrums,ugly,happy,constraint,risk_averse,stigma,cautiously_optimistic,cost
78,,,favourable,stupid,luxurious,pressure,relax,dependence,convince,pain
79,,,buoyant,bad,pleasant,dependency,comfy,red_tape,reasonably_confident,onus
80,,,softness,administrative_burden,agreeable,stigma,closely_align,risk,believe,downward_pressure
81,,,sluggishness,strain,risk_averse,dependence,attractive,cost,adamant,hardship
82,,,weakness,constraint,relax,red_tape,safe,pain,assure,burden
83,,,resilience,pressure,comfy,risk,hospitable,onus,hope,dilemma
84,,,steadiness,dependency,closely_align,cost,comfortable,reliance,supportive,chal_lenge
85,,,firmness,stigma,attractive,pain,consident,downward_pressure,confident,obstacle
86,,,strength,dependence,safe,onus,hopeful,hardship,improve,problem
87,,,tightness,red_tape,hospitable,reliance,optimistic,burden,strengthen,threat
88,,,upswing,risk,comfortable,downward_pressure,sceptical,dilemma,maximise,conundrum
89,,,upturn,cost,consident,hardship,cautiously_optimistic,chal_lenge,greatly_enhance,difficulty
90,,,fragility,pain,hopeful,burden,convince,obstacle,bolster,daunt_task
91,,,buoyant,onus,optimistic,dilemma,reasonably_confident,problem,optimise,ethical_dilemma
92,,,upward_trend,reliance,sceptical,chal_lenge,believe,threat,maximize,headwind
93,,,bullish_sentiment,downward_pressure,cautiously_optimistic,obstacle,adamant,conundrum,boost,hurdle
94,,,bullish_mood,hardship,convince,problem,assure,difficulty,complement,uphill_battle
95,,,buoyancy,burden,reasonably_confident,threat,hope,daunt_task,reinforce,headache
96,,,comsortable,dilemma,believe,conundrum,supportive,ethical_dilemma,maintain,uphill_struggle
97,,,happy,chal_lenge,adamant,difficulty,confident,task,facilitate,challenge
98,,,uncomfortable,obstacle,assure,daunt_task,improve,headwind,enhance,mothballing
99,,,luxurious,problem,hope,ethical_dilemma,strengthen,hurdle,favourable,redundancy
100,,,uncomsortable,threat,supportive,task,maximise,uphill_battle,relatively_benign,shutdown
101,,,pleasant,conundrum,confident,headwind,greatly_enhance,headache,benign,lie_offs
102,,,agreeable,difficulty,improve,hurdle,bolster,uphill_struggle,positive,layoff
103,,,risk_averse,daunt_task,strengthen,uphill_battle,optimise,challenge,accommodative,closing
104,,,relax,ethical_dilemma,maximise,headache,maximize,mothballing,remunerative,stoppage
105,,,unsatisfied,task,greatly_enhance,uphill_struggle,boost,redundancy,reliable_indicator,compulsory_redundancy
106,,,comfy,headwind,bolster,challenge,complement,shutdown,propitious,pit_closure
107,,,closely_align,hurdle,optimise,mothballing,reinforce,lie_offs,important_determinant,shut_down
108,,,attractive,uphill_battle,maximize,redundancy,maintain,rationalisation,stable,demolition
109,,,safe,headache,boost,shutdown,facilitate,layoff,favorable,disposal
110,,,hospitable,uphill_struggle,complement,lie_offs,enhance,closing,favourable,disruption
111,,,comfortable,challenge,underpin,rationalisation,favourable,stoppage,positively,closure
112,,,consident,mothballing,reinforce,layoff,relatively_benign,compulsory_redundancy,sympathetically,slowdown
113,,,hopeful,redundancy,maintain,closing,benign,pit_closure,favorable,deceleration
114,,,optimistic,shutdown,facilitate,stoppage,positive,shut_down,cautiously,deterioration
115,,,sceptical,lie_offs,enhance,compulsory_redundancy,accommodative,demolition,optimistic,stagnation
116,,,cautiously_optimistic,rationalisation,favourable,pit_closure,remunerative,disposal,sanguine,decline
117,,,convince,layoff,relatively_benign,shut_down,reliable_indicator,gartcosh,kindly,shrinkage
118,,,reasonably_confident,closing,benign,demolition,propitious,disruption,keenly,downturn
119,,,believe,stoppage,positive,disposal,important_determinant,closure,toppy,recession
120,,,adamant,compulsory_redundancy,accommodative,gartcosh,stable,slowdown,positive,downward_revision
121,,,assure,pit_closure,remunerative,disruption,favorable,deceleration,favourably,retrenchment
122,,,hope,shut_down,reliable_indicator,closure,favourable,deterioration,robust,contraction
123,,,supportive,demolition,propitious,slowdown,positively,stagnation,decent,expensive
124,,,con-_cerned,disposal,important_determinant,deceleration,sympathetically,decline,strong,cumbersome
125,,,unconvinced,gartcosh,stable,deterioration,favorable,shrinkage,solid,painful
126,,,doubt,disruption,favorable,stagnation,cautiously,downturn,respectable,problematic
127,,,confident,closure,favourable,decline,optimistic,recession,stable,timeconsuming
128,,,improve,slowdown,positively,shrinkage,sanguine,downward_revision,resilient,complicate
129,,,strengthen,deceleration,sympathetically,downturn,kindly,retrenchment,buoyant,disruptive
130,,,maximise,acceleration,favorable,recession,keenly,contraction,sustainable,inefficient
131,,,greatly_enhance,deterioration,cautiously,downward_revision,toppy,expensive,satisfactory,burdensome
132,,,bolster,stagnation,optimistic,rebind,positive,cumbersome,good,dangerous
133,,,optimise,decline,sanguine,retrenchment,favourably,painful,positive,unnecessary
134,,,maximize,shrinkage,kindly,contraction,robust,problematic,steady,troublesome
135,,,undermine,downturn,keenly,expensive,decent,timeconsuming,healthy,wasteful
136,,,boost,recession,toppy,cumbersome,strong,complicate,enhance,onerous
137,,,complement,upturn,positive,painful,solid,disruptive,strengthen,complex
138,,,underpin,upswing,favourably,problematic,respectable,inefficient,boost,costly
139,,,reinforce,downward_revision,robust,timeconsuming,stable,burdensome,mprove,harm
140,,,impair,rebind,decent,complicate,resilient,dangerous,bolster,reputational_damage
141,,,maintain,retrenchment,strong,disruptive,buoyant,unnecessary,increase,severely_damage
142,,,facilitate,upward_revision,solid,inefficient,sustainable,troublesome,mproved,irreparable_damage
143,,,enhance,contraction,respectable,burdensome,satisfactory,wasteful,improvement,collateral_damage
144,,,unfavorable,expensive,stable,dangerous,good,onerous,maintain,cripple
145,,,favourable,cumbersome,resilient,unnecessary,positive,complex,optimise,tarnish
146,,,unfavourable,painful,buoyant,troublesome,steady,costly,accelerate,destroy
147,,,relatively_benign,problematic,sustainable,wasteful,healthy,harm,maximise,devastate
148,,,benign,timeconsuming,satisfactory,onerous,enhance,reputational_damage,improve,endanger
149,,,positive,complicate,good,complex,strengthen,severely_damage,upturn,catastrophic
150,,,worrisome,disruptive,positive,costly,boost,irreparable_damage,acceleration,irreparable
151,,,disadvantageous,inefficient,steady,harm,mprove,collateral_damage,recovery,undermine
152,,,accommodative,burdensome,healthy,reputational_damage,bolster,cripple,mprovement,hurt
153,,,remunerative,dangerous,enhance,severely_damage,increase,tarnish,increase,corrode
154,,,reliable_indicator,unnecessary,strengthen,irreparable_damage,mproved,destroy,uplift,damage
155,,,propitious,troublesome,boost,collateral_damage,improvement,devastate,improve,threat
156,,,adverse,wasteful,mprove,cripple,maintain,endanger,uptick,risk
157,,,important_determinant,onerous,bolster,tarnish,optimise,catastrophic,slight_improvement,spectre
158,,,stable,complex,increase,destroy,restore,irreparable,improvement,problem
159,,,favorable,costly,mproved,devastate,accelerate,undermine,minimise,hazard
160,,,unfavourably,harm,improvement,endanger,maximise,hurt,counteract,fear
161,,,sceptically,reputational_damage,maintain,catastrophic,improve,corrode,alleviate,peril
162,,,favourable,severely_damage,optimise,irreparable,upturn,damage,offset,difficulty
163,,,warily,irreparable_damage,restore,undermine,acceleration,threat,lessen,stigma
164,,,positively,collateral_damage,accelerate,hurt,recovery,possibility,negate,vulnerability
165,,,sympathetically,cripple,maximise,corrode,mprovement,likelihood,minimize,instability
166,,,favorable,tarnish,improve,damage,increase,consequence,quantify,danger
167,,,cautiously,destroy,upturn,threat,uplift,risk,avoid,budget_deficit
168,,,optimistic,devastate,acceleration,possibility,improve,spectre,eliminate,defcit
169,,,harshly,endanger,recovery,likelihood,uptick,problem,mitigate,borrow_requirement
170,,,sanguine,catastrophic,mprovement,consequence,slight_improvement,hazard,bullish,imbalance
171,,,kindly,irreparable,increase,risk,improvement,fear,upbeat,shortfall
172,,,keenly,undermine,uplift,spectre,minimise,peril,favourable,external_imbalance
173,,,toppy,hurt,improve,problem,counteract,reality,benign,expenditure
174,,,positive,corrode,rebind,hazard,alleviate,difficulty,strong,unemployment
175,,,favourably,damage,uptick,fear,offset,stigma,robust,inflation
176,,,robust,threat,slight_improvement,peril,lessen,vulnerability,favorable,deficit
177,,,decent,possibility,improvement,reality,negate,instability,optimistic,severely_dent
178,,,strong,likelihood,minimise,difficulty,minimize,danger,positive,hurt
179,,,solid,consequence,counteract,stigma,quantify,budget_deficit,favourably,tarnish
180,,,respectable,risk,ameliorate,vulnerability,avoid,surplus,warmly,undermine
181,,,stable,spectre,alleviate,instability,eliminate,defcit,sympathetically,erode
182,,,resilient,problem,offset,danger,mitigate,borrow_requirement,profoundly,weaken
183,,,buoyant,hazard,lessen,budget_deficit,bullish,imbalance,positive,dampen
184,,,unhealthy,fear,negate,surplus,upbeat,shortfall,positively,adversely_affect
185,,,sustainable,peril,minimize,defcit,favourable,budget,proflts,severely_damage
186,,,satisfactory,reality,neutralise,borrow_requirement,benign,psbr,prots,crimp
187,,,good,difficulty,outweigh,imbalance,strong,external_imbalance,prolts,depress
188,,,unexciting,stigma,quantify,shortfall,cautious,gdp,profis,batter
189,,,positive,vulnerability,magnify,budget,robust,fiscal,proits,dent
190,,,steady,instability,avoid,psbr,favorable,expenditure,profi,undermine
191,,,healthy,danger,reduce,external_imbalance,optimistic,unemployment,prolits,destabilisation
192,,,enhance,budget_deficit,eliminate,gdp,positive,inflation,prolt,disrupt
193,,,strengthen,surplus,mitigate,fiscal,favourably,outlay,proflt,inflame
194,,,deteriorate,defcit,bullish,expenditure,warmly,deficit,prfits,imperil
195,,,boost,borrow_requirement,upbeat,unemployment,sympathetically,severely_dent,profl,instability
196,,,mprove,imbalance,favourable,inflation,profoundly,hurt,profts,aggravate
197,,,reduce,shortfall,benign,outlay,naturally,tarnish,prost,paralyse
198,,,bolster,budget,strong,deficit,thoroughly,undermine,proit,cripple
199,,,increase,psbr,cautious,severely_dent,somewhat,erode,prols,counterproductive
200,,,mproved,external_imbalance,robust,hurt,clearly,weaken,profits,choke_off
201,,,improvement,gdp,favorable,tarnish,positive,dampen,bounce_back,unstable
202,,,maintain,fiscal,optimistic,undermine,mildly,adversely_affect,rebound_strongly,hinder
203,,,optimise,expenditure,positive,erode,distinctly,severely_damage,recover,jeopardise
204,,,restore,unemployment,favourably,weaken,inwardly,crimp,climb,destabilise
205,,,accelerate,inflation,warmly,dampen,differently,depress,bounce,worsen
206,,,maximise,outlay,sympathetically,adversely_affect,positively,affect,rebound,deterioration
207,,,improve,deficit,profoundly,severely_damage,proflts,batter,bounce_back,weaken
208,,,deterioration,severely_dent,naturally,crimp,prots,dent,rebound,sharp_deterioration
209,,,upturn,hurt,thoroughly,depress,prolts,undermine,recoup,rapid_deterioration
210,,,reduction,tarnish,somewhat,affect,profis,destabilisation,regain,depress
211,,,acceleration,undermine,clearly,batter,proits,disrupt,stabilise,shrink
212,,,recovery,bolster,positive,dent,profi,inflame,rebound_strongly,stagnate
213,,,mprovement,boost,mildly,undermine,prolits,imperil,recover,decline
214,,,increase,erode,distinctly,destabilisation,prolt,instability,upturn,weak
215,,,uplift,weaken,inwardly,disrupt,proflt,aggravate,upswing,dire
216,,,improve,dampen,differently,inflame,prfits,paralyse,growth,diverge
217,,,rebind,adversely_affect,positively,imperil,profl,cripple,revival,deteriorate
218,,,turnaround,severely_damage,proflts,neutralise,profts,counterproductive,nascent_recovery,sharp_deterioration
219,,,decline,crimp,prots,instability,prost,choke_off,turnround,rapid_deterioration
220,,,uptick,depress,prolts,aggravate,proit,unstable,turnaround,deteriorate
221,,,slippage,affect,profis,paralyse,prols,hinder,improvement,slowdown
222,,,slight_improvement,batter,proits,cripple,profits,jeopardise,bounceback,weakness
223,,,improvement,dent,profi,counterproductive,bounce_back,destabilise,cyclical_upswing,decline
224,,,minimise,undermine,prolits,choke_off,rebound_strongly,worsen,ecovery,shrinkage
225,,,counteract,destabilisation,prolt,unstable,recover,deterioration,recovery,erosion
226,,,ameliorate,disrupt,proflt,hinder,climb,weaken,strength,contraction
227,,,alleviate,inflame,prfits,jeopardise,bounce,sharp_deterioration,robustness,deceleration
228,,,offset,imperil,profl,destabilise,rebound,rapid_deterioration,buoyancy,slippage
229,,,lessen,neutralise,profts,worsen,bounce_back,depress,dynamism,worsen
230,,,negate,instability,prost,deterioration,rebound,shrink,steadiness,downturn
231,,,minimize,aggravate,proit,weaken,recoup,stagnate,durability,deterioration
232,,,neutralise,paralyse,prols,sharp_deterioration,regain,decline,vitality,sharp_deterioration
233,,,outweigh,cripple,profits,rapid_deterioration,stabilise,weak,toughness,rapid_deterioration
234,,,quantify,counterproductive,bounce_back,depress,rebound_strongly,dire,success,deteriorate
235,,,magnify,choke_off,rebound_strongly,shrink,recover,diverge,resilience,slowdown
236,,,avoid,unstable,recover,stagnate,upturn,deteriorate,robust,weakness
237,,,reduce,hinder,rebind,decline,upswing,sharp_deterioration,buoyant,decline
238,,,eliminate,jeopardise,climb,weak,growth,rapid_deterioration,surprisingly_resilient,shrinkage
239,,,mitigate,destabilise,bounce,dire,revival,deteriorate,remarkably_resilient,erosion
240,,,negative,worsen,rebound,diverge,nascent_recovery,slowdown,strong,contraction
241,,,bullish,deterioration,bounce_back,deteriorate,turnround,weakness,stable,deceleration
242,,,upbeat,weaken,rebound,sharp_deterioration,turnaround,decline,healthy,slippage
243,,,favourable,improve,recoup,rapid_deterioration,improvement,shrinkage,profitable,worsen
244,,,bearish,sharp_deterioration,regain,deteriorate,bounceback,erosion,benign,downturn
245,,,downbeat,rapid_deterioration,stabilise,slowdown,cyclical_upswing,contraction,solid,deterioration
246,,,benign,depress,rebound_strongly,weakness,ecovery,deceleration,resilient,extremely_difficult
247,,,strong,shrink,recover,decline,recovery,slippage,strong,diffcult
248,,,disappoint,stabilise,rebind,shrinkage,strength,worsen,robust,dificult
249,,,cautious,stagnate,upturn,erosion,robustness,downturn,impressive,diffi_cult
250,,,robust,decline,upswing,contraction,buoyancy,deterioration,healthy,hard
251,,,favorable,normalise,growth,deceleration,dynamism,sharp_deterioration,stable,tricky
252,,,gloomy,weak,revival,slippage,steadiness,rapid_deterioration,solidly,dimcult
253,,,optimistic,dire,nascent_recovery,worsen,durability,deteriorate,stellar,difcult
254,,,unfavourable,diverge,turnround,downturn,vitality,slowdown,resilient,impossible
255,,,positive,deteriorate,turnaround,deterioration,toughness,weakness,respectable,difflcult
256,,,cautiously,sharp_deterioration,improvement,sharp_deterioration,success,decline,sturdy,virtually_impossible
257,,,favourably,rapid_deterioration,bounceback,rapid_deterioration,resilience,shrinkage,decent,problematic
258,,,warmly,improvement,cyclical_upswing,deteriorate,robust,erosion,enviable,notoriously_difficult
259,,,sympathetically,deteriorate,ecovery,slowdown,buoyant,contraction,buoyant,difficult
260,,,profoundly,slowdown,recovery,weakness,surprisingly_resilient,deceleration,solid,deter
261,,,naturally,weakness,strength,decline,remarkably_resilient,slippage,sound,dissuade
262,,,thoroughly,decline,robustness,shrinkage,strong,worsen,stabilize,inhibit
263,,,somewhat,shrinkage,buoyancy,erosion,stable,downturn,normalise,prevent
264,,,clearly,erosion,dynamism,contraction,healthy,deterioration,restore_confidence,preclude
265,,,positive,contraction,solidity,deceleration,profitable,extremely_difficult,recover,hinder
266,,,mildly,deceleration,steadiness,slippage,benign,diffcult,strengthen,stifle
267,,,distinctly,slippage,durability,worsen,solid,dificult,regain_momentum,prohibit
268,,,sceptically,worsen,vitality,downturn,resilient,diffi_cult,reflate,restrain
269,,,inwardly,upturn,toughness,deterioration,strong,hard,restore,impede
270,,,differently,downturn,success,extremely_difficult,robust,tricky,rebalance,penalise
271,,,positively,deterioration,resilience,diffcult,impressive,dimcult,revive,shy_away
272,,,proflts,sharp_deterioration,robust,dificult,healthy,difcult,stabilisation,discourage
273,,,prots,rapid_deterioration,buoyant,diffi_cult,stable,impossible,stabilise,rating_downgrade
274,,,prolts,improvement,surprisingly_resilient,hard,solidly,difflcult,stabilise,downgradings
275,,,profis,deteriorate,remarkably_resilient,tricky,stellar,virtually_impossible,normalise,lower
276,,,proits,slowdown,strong,dimcult,resilient,tough,reflate,junk_status
277,,,profi,weakness,stable,difcult,respectable,problematic,stabilization,default
278,,,prolits,decline,healthy,impossible,sturdy,notoriously_difficult,restore_confidence,downward_revision
279,,,prolt,shrinkage,profitable,difflcult,decent,difficult,regain_momentum,tumble
280,,,proflt,erosion,benign,virtually_impossible,enviable,deter,readjust,writedowns
281,,,prfits,contraction,solid,tough,buoyant,dissuade,deleverage,fall
282,,,profl,deceleration,resilient,problematic,solid,inhibit,rebalance,downgrade
283,,,profts,slippage,strong,notoriously_difficult,sound,prevent,recalibrate,stumble
284,,,prost,worsen,robust,difficult,stabilize,preclude,stabilisation,push
285,,,proit,upturn,impressive,deter,normalise,hinder,kickstart,hobble
286,,,prols,downturn,healthy,dissuade,restore_confidence,stifle,stabilize,limp
287,,,profits,deterioration,stable,inhibit,recover,prohibit,suc_cess,weigh_heavily
288,,,bounce_back,extremely_difficult,solidly,prevent,strengthen,restrain,achievement,rumble
289,,,rebound_strongly,diffcult,stellar,preclude,regain_momentum,impede,uccess,slip
290,,,recover,dificult,resilient,hinder,reflate,penalise,sucess,suck
291,,,tumble,diffi_cult,respectable,stifle,restore,shy_away,accomplishment,drag
292,,,fall,hard,sturdy,prohibit,rebalance,discourage,succes,undermine
293,,,slump,tricky,decent,restrain,revive,rating_downgrade,breakthrough,diminish
294,,,dip,dimcult,enviable,impede,stabilisation,downgradings,resilience,weaken
295,,,rebind,difcult,buoyant,penalise,soften,lower,prowess,steadily_erode
296,,,slip,impossible,solid,shy_away,stabilise,rating_agency,ambition,hurt
297,,,plummet,difflcult,sound,discourage,stabilise,junk_status,dynamism,whittle_away
298,,,retreat,easy,stabilize,rating_downgrade,normalise,fitch,outperformance,severely_dent
299,,,slide,virtually_impossible,normalise,downgradings,reflate,default,progress,exacerbate
300,,,plunge,tough,restore_confidence,lower,stabilization,fitch_rating,survival,curtail
301,,,climb,problematic,recover,rating_agency,restore_confidence,moody,strength,crimp
302,,,bounce,notoriously_difficult,strengthen,junk_status,regain_momentum,underweight,success,decimate
303,,,rebound,difficult,regain_momentum,fitch,readjust,downward_revision,succesful,constrain
304,,,bounce_back,deter,reflate,default,deleverage,tumble,profitable,erosion
305,,,rebound,dissuade,restore,fitch_rating,rebalance,writedowns,sucessful,erode
306,,,recoup,encourage,rebalance,moody,recalibrate,fall,successfu,deterioration
307,,,claw_back,inhibit,revive,underweight,stabilisation,downgrade,ambitious,steady_erosion
308,,,regain,prevent,stabilisation,downward_revision,kickstart,knock,suc_cessful,diminution
309,,,stabilise,preclude,soften,tumble,stabilize,stumble,innovative,shrinkage
310,,,suffer,hinder,stabilise,writedowns,suc_cess,weigh,uccessful,erode
311,,,erase,stifle,stabilise,fall,achievement,push,hugely_successful,degradation
312,,,subside,prohibit,normalise,downgrade,uccess,turn,excite,weakness
313,,,rebound_strongly,restrain,reflate,knock,sucess,hobble,prestigious,decline
314,,,recede,impede,stabilization,stumble,accomplishment,limp,sophisticate,destruction
315,,,fall,penalise,restore_confidence,weigh,succes,pull,cessful,weaken
316,,,slip,shy_away,regain_momentum,push,breakthrough,weigh_heavily,successul,precipitous_drop
317,,,evaporate,induce,readjust,turn,resilience,propel,impressive,downward_spiral
318,,,plummet,protect,deleverage,hobble,prowess,lurch,successful,erosion
319,,,recover,discourage,rebalance,limp,ambition,rumble,effectively,aggravate
320,,,rebind,rating_downgrade,recalibrate,pull,dynamism,slip,vigorously,accentuate
321,,,upturn,downgradings,stabilisation,weigh_heavily,outperformance,drive,successful,hamper
322,,,upswing,upgrade,kickstart,propel,progress,suck,skilfully,beset
323,,,growth,lower,stabilize,lurch,survival,drag,satisfactorily,heighten
324,,,slowdown,rating_agency,suc_cess,rumble,strength,undermine,energetically,plague
325,,,downturn,junk_status,achievement,slip,success,diminish,intensively,worsen
326,,,revival,fitch,uccess,drive,succesful,weaken,robustly,overshadow
327,,,nascent_recovery,default,sucess,suck,profitable,steadily_erode,swiftly,trigger
328,,,turnround,fitch_rating,accomplishment,drag,sucessful,hurt,efficiently,undermine
329,,,turnaround,moody,succes,undermine,successfu,whittle_away,rapidly,bedevil
330,,,improvement,underweight,breakthrough,diminish,ambitious,severely_dent,dynamically,hurt
331,,,bounceback,downward_revision,resilience,weaken,suc_cessful,exacerbate,profitably,exacerbate
332,,,cyclical_upswing,tumble,prowess,steadily_erode,innovative,curtail,consistently,vulnerable
333,,,recession,writedowns,ambition,hurt,uccessful,crimp,successfully,susceptible
334,,,ecovery,fall,dynamism,whittle_away,hugely_successful,decimate,able,prone
335,,,recovery,downgrade,outperformance,severely_dent,excite,constrain,enable,lay_bare
336,,,strength,knock,progress,exacerbate,prestigious,erosion,adequately,confine
337,,,robustness,stumble,survival,curtail,sophisticate,erode,benign,exploit
338,,,fragility,weigh,strength,crimp,cessful,deterioration,buoyant,hurt
339,,,buoyancy,push,success,decimate,successul,steady_erosion,buoyancy,perceive
340,,,weakness,turn,succesful,reduce,impressive,diminution,comfortable,afflict
341,,,vulnerability,hobble,profitable,constrain,successful,shrinkage,confident,suffer
342,,,dynamism,limp,sucessful,outweigh,effectively,erode,enhance,confront
